index,"[D310000] 손익계산서, 기능별 분류 - 연결 | Income statement, by function of expense - Consolidated financial statements (Unit: KRW)","[D310000] 손익계산서, 기능별 분류 - 연결 | Income statement, by function of expense - Consolidated financial statements (Unit: KRW)","[D310000] 손익계산서, 기능별 분류 - 연결 | Income statement, by function of expense - Consolidated financial statements (Unit: KRW)","[D310000] 손익계산서, 기능별 분류 - 연결 | Income statement, by function of expense - Consolidated financial statements (Unit: KRW)","[D310000] 손익계산서, 기능별 분류 - 연결 | Income statement, by function of expense - Consolidated financial statements (Unit: KRW)","[D310000] 손익계산서, 기능별 분류 - 연결 | Income statement, by function of expense - Consolidated financial statements (Unit: KRW)",20240101-20241231,20230101-20231231,20220101-20221231,20210101-20211231
,concept_id,label_ko,label_en,class0,class1,class2,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
0,ifrs-full_Revenue,매출액,Revenue,ifrs-full:IncomeStatementAbstract,매출액,,300870903000000.0,258935494000000.0,302231360000000.0,279604799000000.0
1,ifrs-full_CostOfSales,매출원가,Cost of sales,ifrs-full:IncomeStatementAbstract,매출원가,,186562268000000.0,180388580000000.0,190041770000000.0,166411342000000.0
2,ifrs-full_GrossProfit,매출총이익,Gross profit,ifrs-full:IncomeStatementAbstract,매출총이익,,114308635000000.0,78546914000000.0,112189590000000.0,113193457000000.0
3,dart_TotalSellingGeneralAdministrativeExpenses,판매비와관리비,Selling general administrative expenses,ifrs-full:IncomeStatementAbstract,판매비와관리비,,81582674000000.0,71979938000000.0,68812960000000.0,61559601000000.0
4,dart_OperatingIncomeLoss,영업이익,Operating profit,ifrs-full:IncomeStatementAbstract,영업이익,,32725961000000.0,6566976000000.0,43376630000000.0,51633856000000.0
5,dart_OtherGains,기타수익,Other gains,ifrs-full:IncomeStatementAbstract,기타수익,,1960338000000.0,1180448000000.0,1962071000000.0,2205695000000.0
6,dart_OtherLosses,기타비용,Other losses,ifrs-full:IncomeStatementAbstract,기타비용,,1625229000000.0,1083327000000.0,1790176000000.0,2055971000000.0
7,ifrs-full_ShareOfProfitLossOfAssociatesAndJointVenturesAccountedForUsingEquityMethod,지분법이익,Share of net profit of associates and joint ventures,ifrs-full:IncomeStatementAbstract,지분법이익,,751044000000.0,887550000000.0,1090643000000.0,729614000000.0
8,ifrs-full_FinanceIncome,금융수익,Financial income,ifrs-full:IncomeStatementAbstract,금융수익,,16703304000000.0,16100148000000.0,20828995000000.0,8543187000000.0
9,ifrs-full_FinanceCosts,금융비용,Financial expense,ifrs-full:IncomeStatementAbstract,금융비용,,12985684000000.0,12645530000000.0,19027689000000.0,7704554000000.0
10,ifrs-full_ProfitLossBeforeTax,법인세비용차감전순이익,Profit (loss) before tax,ifrs-full:IncomeStatementAbstract,법인세비용차감전순이익,,37529734000000.0,11006265000000.0,46440474000000.0,53351827000000.0
11,ifrs-full_IncomeTaxExpenseContinuingOperations,법인세비용(수익),Income tax expense (benefit),ifrs-full:IncomeStatementAbstract,법인세비용(수익),,3078383000000.0,-4480835000000.0,-9213603000000.0,13444377000000.0
12,ifrs-full_ProfitLoss,당기순이익,Profit,ifrs-full:IncomeStatementAbstract,당기순이익,,34451351000000.0,15487100000000.0,55654077000000.0,39907450000000.0
13,ifrs-full_ProfitLossAttributableToOwnersOfParent,지배기업 소유지분,"Profit (loss), attributable to owners of parent",ifrs-full:IncomeStatementAbstract,당기순이익의 귀속,지배기업 소유지분,33621363000000.0,14473401000000.0,54730018000000.0,39243791000000.0
14,ifrs-full_ProfitLossAttributableToNoncontrollingInterests,비지배지분,Profit attributable to Non-controlling interests,ifrs-full:IncomeStatementAbstract,당기순이익의 귀속,비지배지분,829988000000.0,1013699000000.0,924059000000.0,663659000000.0
15,ifrs-full_BasicEarningsLossPerShare,기본주당이익,-Basic,ifrs-full:IncomeStatementAbstract,주당이익,기본주당이익,4950.0,2131.0,8057.0,5777.0
16,ifrs-full_DilutedEarningsLossPerShare,희석주당이익,-Diluted,ifrs-full:IncomeStatementAbstract,주당이익,희석주당이익,4950.0,2131.0,8057.0,5777.0
